colour	x	y	group	showSelectedlegendcolour	clickSelects	PANEL
#4DAF4A	28	0.0306118627131346	2	2	2	3
#4DAF4A	29	0.0313818399855111	2	2	2	3
#4DAF4A	30	0.0320048561386764	2	2	2	3
#984EA3	1	0.00215212910596674	3	3	3	3
#984EA3	2	0.00211426683223339	3	3	3	3
#984EA3	3	0.00160366673169092	3	3	3	3
#984EA3	4	0.0013365718454944	3	3	3	3
#984EA3	5	0.00237167999060647	3	3	3	3
#984EA3	6	0.00321548381892301	3	3	3	3
#984EA3	7	0.00379528022016132	3	3	3	3
#984EA3	8	0.0048992465773784	3	3	3	3
#984EA3	9	0.00540343812215386	3	3	3	3
#984EA3	10	0.00672265972622462	3	3	3	3
#984EA3	11	0.00754324228792231	3	3	3	3
#984EA3	12	0.0082580477941085	3	3	3	3
#984EA3	13	0.00936635509426033	3	3	3	3
#984EA3	14	0.0103752051623215	3	3	3	3
#984EA3	15	0.0114052528882877	3	3	3	3
#984EA3	16	0.0118249641525216	3	3	3	3
#984EA3	17	0.0125169497637133	3	3	3	3
#984EA3	18	0.013186240714611	3	3	3	3
#984EA3	19	0.0138440908703639	3	3	3	3
#984EA3	20	0.0145222525326283	3	3	3	3
#984EA3	21	0.0156635149390133	3	3	3	3
#984EA3	22	0.0160303756391688	3	3	3	3
#984EA3	23	0.0167750359758413	3	3	3	3
#984EA3	24	0.0166222147779211	3	3	3	3
#984EA3	25	0.0169080480035854	3	3	3	3
#984EA3	26	0.0174842712415776	3	3	3	3
#984EA3	27	0.0181237879574005	3	3	3	3
#984EA3	28	0.0183804674733303	3	3	3	3
#984EA3	29	0.0187069942358358	3	3	3	3
#984EA3	30	0.0187993769515715	3	3	3	3
#FF7F00	1	0.00243894538750169	4	4	4	3
#FF7F00	2	0.00228175449620611	4	4	4	3
#FF7F00	3	0.00186414020346935	4	4	4	3
#FF7F00	4	0.00174465945218129	4	4	4	3
#FF7F00	5	0.00156474665439815	4	4	4	3
#FF7F00	6	0.00119640676937876	4	4	4	3
#FF7F00	7	0.00137671982889018	4	4	4	3
#FF7F00	8	0.0018866160751527	4	4	4	3
#FF7F00	9	0.00261002943452498	4	4	4	3
#FF7F00	10	0.00278637383406487	4	4	4	3
#FF7F00	11	0.00287738099310332	4	4	4	3
#FF7F00	12	0.00347079565653125	4	4	4	3
#FF7F00	13	0.00424167669351057	4	4	4	3
#FF7F00	14	0.00524482151758337	4	4	4	3
#FF7F00	15	0.00620521844653797	4	4	4	3
#FF7F00	16	0.00625954566949517	4	4	4	3
#FF7F00	17	0.00646665187092063	4	4	4	3
#FF7F00	18	0.00703889020279573	4	4	4	3
#FF7F00	19	0.00713079181748642	4	4	4	3
#FF7F00	20	0.00795522677069288	4	4	4	3
#FF7F00	21	0.00838790484764474	4	4	4	3
#FF7F00	22	0.00907336204295616	4	4	4	3
#FF7F00	23	0.00950419089158185	4	4	4	3
