linetype	x	showSelectedlegendlinetype	PANEL	group
solid	0.21105527638191	prediction	3	489
solid	0.236180904522613	prediction	3	490
solid	0.261306532663317	prediction	3	491
solid	0.28643216080402	prediction	3	492
solid	0.311557788944724	prediction	3	493
solid	0.336683417085427	prediction	3	494
solid	0.361809045226131	prediction	3	495
solid	0.386934673366834	prediction	3	496
solid	0.412060301507538	prediction	3	497
solid	0.437185929648241	prediction	3	498
solid	0.462311557788945	prediction	3	499
solid	0.487437185929648	prediction	3	500
solid	0.512562814070352	prediction	3	501
solid	0.537688442211055	prediction	3	502
solid	0.562814070351759	prediction	3	503
solid	0.587939698492463	prediction	3	504
solid	0.613065326633166	prediction	3	505
solid	0.63819095477387	prediction	3	506
solid	0.663316582914573	prediction	3	507
solid	0.688442211055277	prediction	3	508
solid	0.71356783919598	prediction	3	509
solid	0.738693467336684	prediction	3	510
solid	0.763819095477387	prediction	3	511
solid	0.788944723618091	prediction	3	512
solid	0.814070351758794	prediction	3	513
solid	0.839195979899498	prediction	3	514
solid	0.864321608040201	prediction	3	515
solid	0.889447236180905	prediction	3	516
solid	0.914572864321608	prediction	3	517
solid	0.939698492462312	prediction	3	518
solid	0.964824120603015	prediction	3	519
solid	0.989949748743719	prediction	3	520
solid	1.01507537688442	prediction	3	521
solid	1.04020100502513	prediction	3	522
solid	1.06532663316583	prediction	3	523
solid	1.09045226130653	prediction	3	524
solid	1.11557788944724	prediction	3	525
solid	1.14070351758794	prediction	3	526
solid	1.16582914572864	prediction	3	527
solid	1.19095477386935	prediction	3	528
solid	1.21608040201005	prediction	3	529
solid	1.24120603015075	prediction	3	530
solid	1.26633165829146	prediction	3	531
solid	1.29145728643216	prediction	3	532
solid	1.31658291457286	prediction	3	533
solid	1.34170854271357	prediction	3	534
solid	1.36683417085427	prediction	3	535
solid	1.39195979899498	prediction	3	536
solid	1.41708542713568	prediction	3	537
solid	1.44221105527638	prediction	3	538
solid	1.46733668341709	prediction	3	539
solid	1.49246231155779	prediction	3	540
solid	1.51758793969849	prediction	3	541
solid	1.5427135678392	prediction	3	542
solid	1.5678391959799	prediction	3	543
solid	1.5929648241206	prediction	3	544
solid	1.61809045226131	prediction	3	545
solid	1.64321608040201	prediction	3	546
solid	1.66834170854271	prediction	3	547
solid	1.69346733668342	prediction	3	548
solid	1.71859296482412	prediction	3	549
solid	1.74371859296482	prediction	3	550
solid	1.76884422110553	prediction	3	551
solid	1.79396984924623	prediction	3	552
solid	1.81909547738693	prediction	3	553
solid	1.84422110552764	prediction	3	554
solid	1.86934673366834	prediction	3	555
solid	1.89447236180905	prediction	3	556
solid	1.91959798994975	prediction	3	557
solid	1.94472361809045	prediction	3	558
solid	1.96984924623116	prediction	3	559
solid	1.99497487437186	prediction	3	560
solid	2.02010050251256	prediction	3	561
solid	2.04522613065327	prediction	3	562
solid	2.07035175879397	prediction	3	563
solid	2.09547738693467	prediction	3	564
solid	2.12060301507538	prediction	3	565
solid	2.14572864321608	prediction	3	566
solid	2.17085427135678	prediction	3	567
